System,machine type,nodes,procstot,procsinnode,nodenum,nodenumz,node install,node prod,node decom,fru type,mem,cputype,memtype,num intercon,purpose,failure_start,failure_end,Down Time,Facilities,Hardware,Human Error,Network,Undetermined,Software,Same Event,failure_category,failure_duration_minutes
20,cluster,512.0,2048.0,4.0,194.0,194,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-20 08:00:00,2001-12-26 13:15:00,8955,,CPU,,,,,No,Hardware,8955.0
20,cluster,512.0,2048.0,4.0,251.0,251,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-22 23:35:00,2001-12-23 02:28:00,173,,CPU,,,,,No,Hardware,173.0
20,cluster,512.0,2048.0,4.0,197.0,197,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-23 00:52:00,2001-12-23 02:28:00,96,,CPU,,,,,No,Hardware,96.0
20,cluster,512.0,2048.0,4.0,234.0,234,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-23 06:27:00,2001-12-23 08:30:00,123,,CPU,,,,,No,Hardware,123.0
20,cluster,512.0,2048.0,4.0,178.0,178,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-24 06:00:00,2001-12-26 13:15:00,3315,,CPU,,,,,No,Hardware,3315.0
20,cluster,512.0,2048.0,4.0,170.0,170,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-24 12:23:00,2001-12-24 14:00:00,97,,CPU,,,,,No,Hardware,97.0
20,cluster,512.0,2048.0,4.0,130.0,130,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-25 19:46:00,2001-12-26 10:13:00,867,,CPU,,,,,No,Hardware,867.0
20,cluster,512.0,2048.0,4.0,235.0,235,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-25 19:46:00,2001-12-26 10:13:00,867,,CPU,,,,,No,Hardware,867.0
20,cluster,512.0,2048.0,4.0,244.0,244,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-25 19:46:00,2001-12-26 10:13:00,867,,CPU,,,,,No,Hardware,867.0
20,cluster,512.0,2048.0,4.0,234.0,234,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-26 09:00:00,2001-12-26 10:13:00,73,,CPU,,,,,No,Hardware,73.0
20,cluster,512.0,2048.0,4.0,243.0,243,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-26 09:00:00,2001-12-26 10:13:00,73,,CPU,,,,,No,Hardware,73.0
20,cluster,512.0,2048.0,4.0,194.0,194,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-26 15:38:00,2002-01-04 10:49:00,12671,,CPU,,,,,No,Hardware,12671.0
20,cluster,512.0,2048.0,4.0,244.0,244,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-27 14:33:00,2001-12-27 15:30:00,57,,CPU,,,,,No,Hardware,57.0
20,cluster,512.0,2048.0,4.0,244.0,244,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-27 15:05:00,2001-12-27 15:30:00,25,,CPU,,,,,No,Hardware,25.0
20,cluster,512.0,2048.0,4.0,234.0,234,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-27 16:08:00,2001-12-27 17:42:00,94,,CPU,,,,,No,Hardware,94.0
20,cluster,512.0,2048.0,4.0,209.0,209,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-28 08:12:00,2001-12-28 16:35:00,503,,PCI Back Plane,,,,,No,Hardware,503.0
20,cluster,512.0,2048.0,4.0,199.0,199,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-28 08:55:00,2001-12-28 09:30:00,35,,,,,Undetermined,,No,Undetermined,35.0
20,cluster,512.0,2048.0,4.0,210.0,210,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-28 11:15:00,2001-12-28 16:35:00,320,,Other,,,,,No,Hardware,320.0
20,cluster,512.0,2048.0,4.0,199.0,199,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-28 11:44:00,2001-12-28 16:35:00,291,,Other,,,,,No,Hardware,291.0
20,cluster,512.0,2048.0,4.0,158.0,158,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-28 13:30:00,2001-12-28 16:35:00,185,,CPU,,,,,No,Hardware,185.0
20,cluster,512.0,2048.0,4.0,12.0,12,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-28 14:00:00,2001-12-28 16:35:00,155,,CPU,,,,,No,Hardware,155.0
20,cluster,512.0,2048.0,4.0,181.0,181,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-29 13:46:00,2001-12-29 16:10:00,144,,CPU,,,,,No,Hardware,144.0
20,cluster,512.0,2048.0,4.0,158.0,158,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-29 15:39:00,2001-12-29 16:10:00,31,,CPU,,,,,No,Hardware,31.0
20,cluster,512.0,2048.0,4.0,243.0,243,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-29 15:39:00,2001-12-29 16:10:00,31,,CPU,,,,,No,Hardware,31.0
20,cluster,512.0,2048.0,4.0,181.0,181,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-29 17:42:00,2001-12-29 20:05:00,143,,CPU,,,,,No,Hardware,143.0
20,cluster,512.0,2048.0,4.0,243.0,243,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-29 18:27:00,2002-01-04 17:15:00,8568,,CPU,,,,,No,Hardware,8568.0
20,cluster,512.0,2048.0,4.0,180.0,180,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-29 19:27:00,2001-12-29 20:05:00,38,,CPU,,,,,No,Hardware,38.0
20,cluster,512.0,2048.0,4.0,62.0,62,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-30 01:22:00,2001-12-30 03:50:00,148,,Power Supply,,,,,No,Hardware,148.0
20,cluster,512.0,2048.0,4.0,62.0,62,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-30 03:51:00,2001-12-30 10:30:00,399,,,,,Undetermined,,No,Undetermined,399.0
20,cluster,512.0,2048.0,4.0,62.0,62,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-30 11:50:00,2001-12-30 13:05:00,75,,CPU,,,,,No,Hardware,75.0
20,cluster,512.0,2048.0,4.0,57.0,57,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-30 12:30:00,2001-12-30 13:05:00,35,,CPU,,,,,No,Hardware,35.0
20,cluster,512.0,2048.0,4.0,245.0,245,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-30 14:12:00,2001-12-30 15:15:00,63,,CPU,,,,,No,Hardware,63.0
20,cluster,512.0,2048.0,4.0,52.0,52,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-30 23:45:00,2001-12-31 08:24:00,519,,Memory Dimm,,,,,No,Hardware,519.0
20,cluster,512.0,2048.0,4.0,51.0,51,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-31 03:22:00,2001-12-31 04:20:00,58,,CPU,,,,,No,Hardware,58.0
20,cluster,512.0,2048.0,4.0,101.0,101,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-31 03:38:00,2001-12-31 07:15:00,217,,,,,,Scheduler Software,No,Software,217.0
20,cluster,512.0,2048.0,4.0,57.0,57,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-31 06:54:00,2001-12-31 09:43:00,169,,CPU,,,,,No,Hardware,169.0
20,cluster,512.0,2048.0,4.0,131.0,131,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-31 10:00:00,2001-12-31 11:25:00,85,,CPU,,,,,No,Hardware,85.0
20,cluster,512.0,2048.0,4.0,0.0,0,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-31 13:56:00,2001-12-31 16:13:00,137,,CPU,,,,,No,Hardware,137.0
20,cluster,512.0,2048.0,4.0,131.0,131,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-31 15:20:00,2001-12-31 16:13:00,53,,CPU,,,,,No,Hardware,53.0
20,cluster,512.0,2048.0,4.0,134.0,134,1-Oct,1-Dec,current,part,16.0,2.0,2.0,2.0,compute,2001-12-31 15:25:00,2001-12-31 16:13:00,48,,CPU,,,,,No,Hardware,48.0
