feature,importance
categorical__node_0,0.19439004282525982
numeric__dominant_day_of_week,0.06289991763623558
numeric__dominant_hour_of_day,0.03745554308270377
categorical__node_224,0.032121050225381004
numeric__avg_requested_procs,0.027333314615565475
numeric__max_requested_procs,0.025597093715313077
categorical__node_192,0.025438781671067372
categorical__node_9,0.02283632662808037
numeric__total_cpu_time_rolling_6h,0.01960790257291108
numeric__avg_queue_wait_seconds_rolling_6h,0.019412766149286817
categorical__node_230,0.017068332779026293
categorical__node_4,0.016857418368201968
categorical__node_161,0.015357952435559104
categorical__node_139,0.01437386617318892
categorical__node_64,0.011805080649633393
categorical__node_7,0.011578537760627193
numeric__unique_users_rolling_6h,0.011502982362523334
categorical__node_19,0.010170433415071727
numeric__avg_cpu_user_ratio,0.009981951408856531
numeric__cpu_time_share_system,0.00878761690196544
categorical__node_93,0.008695591500446688
numeric__avg_cpu_time_per_proc,0.00852119913430832
numeric__total_cpu_user_time,0.008274677707645027
categorical__node_177,0.008039621812465708
numeric__total_cpu_time_lag_1h,0.007712008572095454
numeric__aborted_job_ratio,0.007390192876862724
numeric__total_cpu_time,0.007110000949233379
numeric__aborted_jobs,0.006905671908842601
categorical__node_3,0.006902243063573164
categorical__node_82,0.006788222321108364
categorical__node_73,0.006564457556565648
numeric__median_queue_wait_seconds,0.006210210232033192
categorical__node_35,0.006135937434497093
categorical__node_80,0.006120330298812506
numeric__job_count_rolling_6h,0.005857776270077375
categorical__node_79,0.005793378059780475
categorical__node_218,0.005662305911763326
categorical__node_5,0.005601587545236803
categorical__node_77,0.005588826047439468
categorical__node_17,0.005226022029317181
categorical__node_97,0.005200832099526839
categorical__node_142,0.004950865425404841
numeric__avg_queue_wait_seconds,0.004903416724064325
categorical__node_87,0.004833230209360089
numeric__avg_queue_wait_seconds_lag_1h,0.004816360360890169
categorical__node_112,0.004804593657003517
categorical__node_137,0.004320199794109118
categorical__node_100,0.003934514211592885
categorical__node_193,0.003722911745891445
numeric__killed_jobs,0.0037051446877304993
numeric__syskill_jobs,0.0036981930729475935
categorical__node_92,0.003664350594526361
categorical__node_33,0.003547996069903958
categorical__node_120,0.003546340137787524
numeric__other_status_jobs,0.0033975162780209857
categorical__node_65,0.0033415874709976368
categorical__node_162,0.0032932176739917064
numeric__weekend_jobs,0.0032926600281194284
categorical__node_61,0.0032108362619396227
categorical__node_72,0.0031321065055609854
categorical__node_197,0.0031088862368226023
categorical__node_237,0.0030992139839965183
numeric__unique_users,0.003093419817257686
numeric__unique_users_lag_1h,0.003069360125572823
categorical__node_195,0.003033524505048388
categorical__node_84,0.002998508356366633
categorical__node_160,0.0029099877349293797
categorical__node_67,0.002883610237107923
categorical__node_210,0.002876700833027475
categorical__node_153,0.0028683973773713043
categorical__node_69,0.002862418275567225
numeric__job_count,0.0028166486784750545
categorical__node_1,0.002787381179621794
categorical__node_71,0.0027104075492953746
categorical__node_231,0.0025820933528087338
categorical__node_196,0.002560496176527199
numeric__finished_jobs,0.002459979872667464
categorical__node_15,0.0023050358698271695
categorical__node_173,0.002279444710655431
categorical__node_96,0.0022654469090253515
numeric__job_count_lag_1h,0.002228033669435349
numeric__avg_requested_procs_per_node,0.0022223169113549947
categorical__node_167,0.002185724726322858
categorical__node_123,0.00218516468436182
categorical__node_39,0.0021770968150191645
categorical__node_136,0.0021676705011208115
categorical__node_194,0.0021037167427825063
categorical__node_81,0.0020409530711633663
categorical__node_219,0.0019224104402406194
categorical__node_205,0.0019127021498928844
categorical__node_186,0.0018588624043409136
numeric__total_cpu_system_time,0.0018089191151977957
