feature,coefficient,abs_coefficient
numeric__cpu_time_share_system,-5.288332649443398,5.288332649443398
categorical__node_55,-1.3738446153487123,1.3738446153487123
categorical__node_0,1.3194173393411337,1.3194173393411337
categorical__node_29,1.2947686530805844,1.2947686530805844
categorical__node_9,1.2578062242924268,1.2578062242924268
categorical__node_213,-1.2302075916305104,1.2302075916305104
categorical__node_69,-1.2055796893678707,1.2055796893678707
categorical__node_216,-1.2009747321189068,1.2009747321189068
categorical__node_249,-1.1905856821563898,1.1905856821563898
categorical__node_192,1.1876524316992554,1.1876524316992554
categorical__node_98,-1.1806182397804161,1.1806182397804161
categorical__node_224,1.1773212069827916,1.1773212069827916
categorical__node_4,1.1745063994685123,1.1745063994685123
categorical__node_198,-1.171398464791018,1.171398464791018
categorical__node_202,-1.1709117621194975,1.1709117621194975
categorical__node_19,1.1669578560808551,1.1669578560808551
categorical__node_106,-1.1474616687474966,1.1474616687474966
categorical__node_17,1.1473445165355398,1.1473445165355398
categorical__node_199,-1.1449954370212998,1.1449954370212998
categorical__node_201,-1.1390847819367096,1.1390847819367096
categorical__node_111,-1.1321977114575894,1.1321977114575894
categorical__node_230,1.1193697588947962,1.1193697588947962
categorical__node_196,-1.1178768896794737,1.1178768896794737
categorical__node_139,1.113580710920791,1.113580710920791
categorical__node_103,-1.108596028212886,1.108596028212886
categorical__node_212,-1.1081408516546905,1.1081408516546905
categorical__node_52,-1.0938916499001585,1.0938916499001585
categorical__node_67,-1.0876529759266418,1.0876529759266418
categorical__node_170,-1.0781200269534195,1.0781200269534195
categorical__node_175,-1.0597031732032198,1.0597031732032198
categorical__node_179,-1.0564014088056577,1.0564014088056577
categorical__node_235,-1.056182873519568,1.056182873519568
categorical__node_188,-1.0526361465245917,1.0526361465245917
categorical__node_113,-1.0503699193095881,1.0503699193095881
categorical__node_7,1.0468797654105904,1.0468797654105904
categorical__node_78,-1.0468764176351135,1.0468764176351135
categorical__node_54,-1.045477410583395,1.045477410583395
categorical__node_93,1.042612725560043,1.042612725560043
categorical__node_115,-1.0389506221086384,1.0389506221086384
categorical__node_27,1.0370037137163675,1.0370037137163675
categorical__node_51,-1.0307521091343432,1.0307521091343432
categorical__node_49,-1.0307509371473236,1.0307509371473236
categorical__node_45,-1.0305063881609196,1.0305063881609196
categorical__node_46,-1.030502759141789,1.030502759141789
categorical__node_47,-1.0301682804969385,1.0301682804969385
categorical__node_161,1.0287735857316507,1.0287735857316507
categorical__node_41,-1.0260855057075216,1.0260855057075216
categorical__node_3,1.025496878680898,1.025496878680898
categorical__node_126,-1.0211764702784476,1.0211764702784476
categorical__node_222,-1.020219390039958,1.020219390039958
categorical__node_250,-1.0194906475665637,1.0194906475665637
categorical__node_145,-1.0162117716495782,1.0162117716495782
categorical__node_149,-1.0157614426069297,1.0157614426069297
categorical__node_124,-1.015336946453295,1.015336946453295
categorical__node_15,1.0138181302201013,1.0138181302201013
categorical__node_150,-1.0110328012674732,1.0110328012674732
categorical__node_39,-1.0080393236109009,1.0080393236109009
categorical__node_72,-1.0076773790171207,1.0076773790171207
categorical__node_83,-1.0061173115690674,1.0061173115690674
categorical__node_42,-1.0050263889452642,1.0050263889452642
categorical__node_43,-1.0047023740482985,1.0047023740482985
categorical__node_186,-1.0045422213363073,1.0045422213363073
categorical__node_64,1.0030525788959064,1.0030525788959064
categorical__node_116,-1.0024486792810114,1.0024486792810114
categorical__node_117,-1.0024482775162717,1.0024482775162717
categorical__node_118,-1.0024461639339446,1.0024461639339446
categorical__node_119,-1.002444852587312,1.002444852587312
categorical__node_81,-0.9999827037274657,0.9999827037274657
categorical__node_132,-0.9949663136870833,0.9949663136870833
categorical__node_182,-0.9860424161574235,0.9860424161574235
categorical__node_24,0.9838222217478881,0.9838222217478881
categorical__node_121,-0.9807504955113063,0.9807504955113063
categorical__node_189,-0.9788806661196967,0.9788806661196967
categorical__node_190,-0.9760976879814276,0.9760976879814276
categorical__node_112,0.9659592962160786,0.9659592962160786
categorical__node_58,-0.9647171757956272,0.9647171757956272
categorical__node_134,-0.9637498407903019,0.9637498407903019
categorical__node_92,-0.9599760171195396,0.9599760171195396
categorical__node_60,-0.9592767436829963,0.9592767436829963
categorical__node_97,0.957043023234309,0.957043023234309
categorical__node_143,-0.9535784722426515,0.9535784722426515
categorical__node_80,0.9534637731421127,0.9534637731421127
categorical__node_35,0.9473368215731253,0.9473368215731253
categorical__node_180,-0.9445138977581732,0.9445138977581732
categorical__node_73,0.9377190739015304,0.9377190739015304
categorical__node_100,0.9363307722327576,0.9363307722327576
categorical__node_176,-0.9362154566225024,0.9362154566225024
