feature,importance
categorical__node_0,0.2932890605364872
numeric__dominant_day_of_week,0.053750721683689315
categorical__node_224,0.05157391580656308
numeric__total_cpu_time_rolling_6h,0.03723153066849508
numeric__avg_requested_procs,0.03139260434841756
numeric__max_requested_procs,0.02924116789014697
categorical__node_7,0.024969938131813012
categorical__node_32,0.021323760210554186
categorical__node_64,0.020333506350558424
categorical__node_161,0.020109447897373102
categorical__node_160,0.019690573961910072
categorical__node_192,0.019633442907024522
categorical__node_4,0.01770748423765186
categorical__node_230,0.01761998774342343
categorical__node_90,0.015457010496399201
numeric__avg_queue_wait_seconds_rolling_6h,0.014629069352611422
numeric__unique_users_rolling_6h,0.011994859993033357
categorical__node_3,0.009796577997746593
categorical__node_194,0.007341752967160661
categorical__node_67,0.006558303088431735
categorical__node_195,0.006002118907079432
categorical__node_196,0.005794157298862663
categorical__node_128,0.005438484963346204
numeric__total_cpu_user_time,0.0052322816413531165
categorical__node_72,0.005082426226558199
categorical__node_92,0.004961513499674832
categorical__node_95,0.004853038702128757
categorical__node_83,0.00480480750770759
categorical__node_78,0.004675915022849835
categorical__node_35,0.004669731846254423
numeric__avg_cpu_user_ratio,0.004620200530791363
categorical__node_186,0.004567255575676687
categorical__node_81,0.004530325280262029
categorical__node_73,0.004421274791973054
numeric__avg_queue_wait_seconds_lag_1h,0.0043792484324115
categorical__node_170,0.004354960779390928
categorical__node_96,0.004214431425715587
numeric__aborted_jobs,0.0041269155944151014
numeric__total_cpu_time,0.004122227939776831
categorical__node_188,0.004008492374351546
numeric__job_count_rolling_6h,0.003826178368548608
categorical__node_198,0.0036486118473916035
categorical__node_98,0.003545504613155607
numeric__aborted_job_ratio,0.0033871038576422153
numeric__cpu_time_share_system,0.003376498465521544
categorical__node_39,0.0033133354049257957
categorical__node_93,0.003236723861889292
numeric__median_queue_wait_seconds,0.0031669577128166423
categorical__node_8,0.0031562446366948174
categorical__node_228,0.0031168485014382435
categorical__node_162,0.0031093619086188483
categorical__node_159,0.0030833057531526524
numeric__avg_cpu_time_per_proc,0.0030287203483617517
categorical__node_41,0.0028930184326406766
numeric__killed_jobs,0.0028882177477623497
categorical__node_42,0.002846924578257002
categorical__node_189,0.0026390391212695544
categorical__node_24,0.0026326852677554242
numeric__avg_queue_wait_seconds,0.0024681412128192233
categorical__node_182,0.0024442598182885383
numeric__total_cpu_time_lag_1h,0.002356650391659278
categorical__node_9,0.0023446178732145573
categorical__node_242,0.002078101568294961
categorical__node_206,0.0020374819101473805
categorical__node_176,0.0020176581989702755
numeric__unique_users,0.002017595704924797
categorical__node_87,0.0020132487055010613
categorical__node_134,0.0019373762441730823
categorical__node_112,0.0017944479767057048
numeric__dominant_hour_of_day,0.0017896483566906447
numeric__unique_users_lag_1h,0.001752733577819615
categorical__node_77,0.0017367944828534524
categorical__node_250,0.0017312134305257354
categorical__node_125,0.0017272279735830597
categorical__node_179,0.001703027444085262
numeric__syskill_jobs,0.0016703539546864179
categorical__node_246,0.001626775176750764
categorical__node_191,0.0015340515491847314
categorical__node_65,0.0015258590500825757
categorical__node_101,0.0014199246259731582
categorical__node_49,0.001365764001089934
categorical__node_5,0.0013601362073437252
categorical__node_103,0.001331440409599878
categorical__node_145,0.0013297265525289165
categorical__node_158,0.0013291609814350348
numeric__avg_requested_procs_per_node,0.0012904421513818638
categorical__node_239,0.0012817775289901492
categorical__node_247,0.0012499562022959547
categorical__node_177,0.001207219255869164
categorical__node_61,0.0011968352329854604
categorical__node_180,0.0011942761783922831
categorical__node_212,0.0011269128080090693
categorical__node_70,0.0011252265615693151
categorical__node_13,0.0011130636980816106
categorical__node_116,0.0011066951997470845
categorical__node_130,0.0010845751739723272
categorical__node_240,0.0010648256745110997
categorical__node_99,0.0010644893366704184
categorical__node_138,0.0010572709310858815
categorical__node_60,0.0010125644207593897
categorical__node_97,0.0010095657674187557
categorical__node_155,0.0009766088794603098
categorical__node_132,0.0009641824296722262
categorical__node_190,0.0009505381494170789
categorical__node_47,0.0009413299855108254
numeric__job_count,0.000888737192925307
categorical__node_36,0.0008854421838548273
