feature,importance
numeric__avg_queue_wait_seconds_rolling_6h,0.05975307012628214
numeric__total_cpu_time_rolling_6h,0.05526268088316733
numeric__avg_queue_wait_seconds,0.05053615795904534
numeric__avg_queue_wait_seconds_lag_1h,0.050141818162498686
numeric__avg_cpu_user_ratio,0.04834831800473314
numeric__avg_cpu_time_per_proc,0.04613616392484967
numeric__median_queue_wait_seconds,0.045976025279606064
numeric__cpu_time_share_system,0.04577125576028192
numeric__total_cpu_system_time,0.044349602827261296
numeric__dominant_hour_of_day,0.043145522101786134
numeric__total_cpu_user_time,0.04290573363014918
numeric__avg_requested_procs,0.04272618180088447
numeric__total_cpu_time_lag_1h,0.042625914721901
numeric__total_cpu_time,0.041568559228971916
numeric__job_count_rolling_6h,0.03453973934112513
numeric__max_requested_procs,0.034164447077644364
numeric__dominant_day_of_week,0.027548672894782193
numeric__unique_users_rolling_6h,0.018447763831502782
numeric__avg_requested_procs_per_node,0.014563679755515545
numeric__job_count_lag_1h,0.014088382751831057
categorical__node_0,0.013999254804845103
numeric__finished_jobs,0.013401721099610917
numeric__syskill_jobs,0.013071969698515406
numeric__job_count,0.011915702494902447
numeric__weekend_jobs,0.00978930713110958
numeric__killed_jobs,0.007922081103189569
numeric__unique_users_lag_1h,0.007130961723406214
numeric__unique_users,0.006363169963869198
categorical__node_224,0.004189654474345562
numeric__aborted_jobs,0.0036131197162092192
categorical__node_139,0.003573138574779407
categorical__node_230,0.0025323376823294407
categorical__node_192,0.002496887135417025
numeric__other_status_jobs,0.002456109636429698
numeric__aborted_job_ratio,0.0024135449048291414
categorical__node_79,0.0023411217663634816
categorical__node_177,0.0021260511122902217
categorical__node_161,0.001966349763273495
categorical__node_82,0.0019485799708607282
categorical__node_93,0.0018918286087154026
numeric__failed_jobs,0.0017673061304025683
categorical__node_162,0.001671550346866834
categorical__node_123,0.001553684023604378
categorical__node_1,0.0015208483228568476
categorical__node_64,0.0014958951125431136
numeric__failed_job_ratio,0.0012927429652699182
categorical__node_89,0.0012729656362445935
categorical__node_206,0.0012063901688794888
categorical__node_237,0.0011094484374408404
categorical__node_80,0.0011011287569936468
categorical__node_9,0.0010908764153034316
categorical__node_100,0.0010798877147411361
categorical__node_73,0.0010571764173269733
categorical__node_220,0.001049283449678337
categorical__node_218,0.0010255733400652792
categorical__node_2,0.0010243293844114849
categorical__node_17,0.0009884374214207427
categorical__node_19,0.0009802200609279096
categorical__node_76,0.0009681641497978652
categorical__node_109,0.0009668123874999219
categorical__node_97,0.000946821272090619
categorical__node_35,0.0009269594376583147
categorical__node_231,0.0008904262983382345
categorical__node_65,0.0008835170984925082
categorical__node_151,0.0008819783787824052
categorical__node_48,0.0008748056914438049
categorical__node_61,0.0008728770631812421
categorical__node_217,0.0008224484217007581
categorical__node_112,0.0008172665539213586
categorical__node_234,0.0008072488853184172
categorical__node_84,0.0007892411611946944
categorical__node_187,0.00078690258479554
categorical__node_197,0.0007822358873732405
categorical__node_141,0.0007578166431842063
categorical__node_4,0.0007570815776600505
categorical__node_34,0.0007334851144771649
categorical__node_173,0.0007294193385011989
categorical__node_157,0.0007287127766447807
categorical__node_214,0.0007188633309277258
categorical__node_169,0.0007107519555935585
categorical__node_120,0.0006986253080762243
categorical__node_7,0.0006917051414887055
categorical__node_219,0.0006856195421011861
categorical__node_33,0.0006805827591727995
categorical__node_194,0.0006754568983418208
categorical__node_152,0.0006659733978455529
categorical__node_71,0.0006646844699661259
categorical__node_3,0.0006645725537713208
categorical__node_99,0.0006643782581226783
categorical__node_191,0.0006611260911348543
categorical__node_70,0.0006589771328656076
categorical__node_153,0.0006585370888890127
categorical__node_178,0.0006583579429839369
categorical__node_77,0.0006538595848538579
categorical__node_172,0.000644373183813217
categorical__node_142,0.0006384665778947165
categorical__node_215,0.0006296831863638919
categorical__node_59,0.0006274107909414531
categorical__node_245,0.0006191240813829009
categorical__node_8,0.0005971726882964801
categorical__node_241,0.000584043334822469
categorical__node_171,0.0005662781811718097
categorical__node_125,0.0005610606440807879
categorical__node_144,0.0005563887975268996
categorical__node_66,0.0005434699991219859
categorical__node_6,0.0005387712880852372
categorical__node_53,0.0005267553663191485
categorical__node_148,0.0005220748794279615
categorical__node_56,0.0005182280629137727
