node,hour,label_next_6h,risk_score
230,2005-08-09 05:00:00,0,0.6201326394736811
0,2005-08-23 07:00:00,0,0.6102088837222094
15,2005-08-16 08:00:00,0,0.5888082609244267
0,2005-07-20 05:00:00,0,0.5850669615553199
0,2005-08-25 14:00:00,0,0.5795964081154876
4,2005-08-23 14:00:00,0,0.5792218151628852
14,2005-09-20 05:00:00,0,0.5726616183401967
0,2005-08-24 16:00:00,0,0.563645431913734
0,2005-08-22 07:00:00,0,0.5612984519969693
73,2005-08-24 06:00:00,0,0.5591283484684486
183,2005-08-11 09:00:00,0,0.5583324114354334
190,2005-09-13 17:00:00,0,0.5560583541330556
0,2005-07-19 19:00:00,0,0.5506660104237072
247,2005-10-19 04:00:00,0,0.5500056059077528
0,2005-07-20 00:00:00,0,0.5451943777340886
0,2005-09-09 09:00:00,0,0.5409807668182658
107,2005-09-15 04:00:00,0,0.538818991149011
134,2005-08-17 06:00:00,0,0.5350824063465165
14,2005-08-30 16:00:00,0,0.5333910127236042
0,2005-10-06 01:00:00,0,0.5330195912429293
